,Edad,Genero,Survived
0,34.5,0,0
1,47.0,1,0
2,62.0,0,0
3,27.0,0,0
4,22.0,1,1
5,14.0,0,1
6,30.0,0,0
7,26.0,1,1
8,18.0,0,1
9,21.0,2,1
10,46.0,0,0
11,23.0,1,1
12,63.0,1,0
13,47.0,1,0
14,24.0,1,1
15,35.0,0,0
16,21.0,0,1
17,27.0,1,0
18,45.0,0,0
19,55.0,1,0
20,9.0,0,1
21,21.0,0,1
22,48.0,1,0
23,50.0,1,0
24,22.0,0,1
25,22.5,0,1
26,41.0,0,0
27,50.0,1,0
28,24.0,2,1
29,33.0,1,0
30,30.0,1,0
31,18.5,0,1
32,21.0,0,1
33,25.0,0,1
34,39.0,0,0
35,41.0,0,0
36,30.0,0,0
37,45.0,1,0
38,25.0,0,1
39,45.0,0,0
40,60.0,0,0
41,36.0,0,0
42,24.0,1,1
43,27.0,0,0
44,20.0,2,1
45,28.0,3,0
46,10.0,4,1
47,35.0,0,0
48,25.0,0,1
49,36.0,0,0
50,17.0,0,1
51,32.0,0,0
52,18.0,0,1
53,22.0,0,1
54,13.0,2,1
55,18.0,0,1
56,47.0,0,0
57,31.0,0,0
58,60.0,1,0
59,24.0,0,1
60,21.0,0,1
61,29.0,0,0
62,28.5,0,0
63,35.0,0,0
64,32.5,0,0
65,55.0,2,0
66,30.0,0,0
67,24.0,0,1
68,6.0,1,1
69,67.0,1,0
70,49.0,0,0
71,27.0,0,0
72,18.0,0,1
73,2.0,1,1
74,22.0,1,1
75,27.0,1,0
76,25.0,0,1
77,25.0,0,1
78,76.0,1,0
79,29.0,0,0
80,20.0,0,1
81,33.0,0,0
82,43.0,1,0
83,27.0,1,0
84,26.0,0,1
85,16.0,1,1
86,28.0,0,0
87,21.0,0,1
88,18.5,0,1
89,41.0,0,0
90,36.0,0,0
91,18.5,0,1
92,63.0,1,0
93,18.0,1,1
94,1.0,1,1
95,36.0,0,0
96,29.0,1,0
97,12.0,0,1
98,35.0,1,0
99,28.0,0,0
100,17.0,0,1
101,22.0,0,1
102,42.0,0,0
103,24.0,0,1
104,32.0,0,0
105,53.0,0,0
106,43.0,0,0
107,24.0,0,1
108,26.5,0,0
109,26.0,0,1
110,23.0,0,1
111,40.0,1,0
112,10.0,5,1
113,33.0,0,0
114,61.0,1,0
115,28.0,0,0
116,42.0,0,0
117,31.0,3,0
118,22.0,0,1
119,30.0,1,0
120,23.0,0,1
121,60.5,0,0
122,36.0,0,0
123,13.0,4,1
124,24.0,0,1
125,29.0,0,0
126,23.0,0,1
127,42.0,0,0
128,26.0,0,1
129,7.0,1,1
130,26.0,0,1
131,41.0,0,0
132,26.0,1,1
133,48.0,0,0
134,18.0,2,1
135,22.0,0,1
136,27.0,0,0
137,23.0,1,1
138,40.0,1,0
139,15.0,0,1
140,20.0,0,1
141,54.0,1,0
142,36.0,0,0
143,64.0,0,0
144,30.0,0,0
145,37.0,1,0
146,18.0,1,1
147,27.0,1,0
148,40.0,0,0
149,21.0,0,1
150,17.0,2,1
151,40.0,0,0
152,34.0,1,0
153,11.5,1,1
154,61.0,0,0
155,8.0,0,1
156,33.0,0,0
157,6.0,0,1
158,18.0,0,1
159,23.0,0,1
160,0.33,0,1
161,47.0,1,0
162,8.0,1,1
163,25.0,0,1
164,35.0,0,0
165,24.0,0,1
166,33.0,0,0
167,25.0,0,1
168,32.0,0,0
169,17.0,0,1
170,60.0,1,0
171,38.0,4,1
172,42.0,0,0
173,57.0,1,0
174,50.0,1,0
175,30.0,1,0
176,21.0,0,1
177,22.0,0,1
178,21.0,0,1
179,53.0,0,0
180,23.0,0,1
181,40.5,0,0
182,36.0,0,0
183,14.0,0,1
184,21.0,0,1
185,21.0,1,1
186,39.0,1,0
187,20.0,0,1
188,64.0,1,0
189,20.0,0,1
190,18.0,1,1
191,48.0,1,0
192,55.0,0,0
193,45.0,0,0
194,45.0,1,0
195,41.0,1,0
196,22.0,0,1
197,42.0,1,0
198,29.0,1,0
199,0.92,1,1
200,20.0,0,1
201,27.0,1,0
202,24.0,0,1
203,32.5,0,0
204,28.0,0,0
205,19.0,0,1
206,21.0,0,1
207,36.5,1,0
208,21.0,0,1
209,29.0,0,0
210,1.0,1,1
211,30.0,0,0
